Model,Overall_Accuracy,Avg_Precision,Avg_Recall,Avg_F1_Score,Avg_Specificity,Anger_Precision,Anger_Recall,Anger_F1,Anger_Specificity,Anger_AUC,Contempt_Precision,Contempt_Recall,Contempt_F1,Contempt_Specificity,Contempt_AUC,Disgust_Precision,Disgust_Recall,Disgust_F1,Disgust_Specificity,Disgust_AUC,Fear_Precision,Fear_Recall,Fear_F1,Fear_Specificity,Fear_AUC,Happy_Precision,Happy_Recall,Happy_F1,Happy_Specificity,Happy_AUC,Neutral_Precision,Neutral_Recall,Neutral_F1,Neutral_Specificity,Neutral_AUC,Sad_Precision,Sad_Recall,Sad_F1,Sad_Specificity,Sad_AUC,Surprise_Precision,Surprise_Recall,Surprise_F1,Surprise_Specificity,Surprise_AUC
deit_small_distilled_patch16_224,0.6301041666666667,0.6310387819981758,0.6298201897848582,0.6300614148735282,0.9471735753469439,0.6025,0.5935960591133005,0.598014888337469,0.943092340730136,0.9013456977752388,0.6124704025256511,0.6581849024597116,0.634505314799673,0.9416933855836599,0.9286647471148051,0.7191901408450704,0.6536,0.6848281642917016,0.9617964071856288,0.9361114251497006,0.6471095772217429,0.6229235880398671,0.6347862886161659,0.9512863268222963,0.92107928114796,0.7287993282955499,0.7306397306397306,0.7297183690626313,0.9616024726581075,0.9573255738555312,0.5195670274771024,0.5347043701799485,0.527027027027027,0.9315783232538836,0.8872693892104415,0.6032285471537808,0.6089193825042881,0.6060606060606061,0.9446288830922457,0.908736832985494,0.6154452324665091,0.6359934853420195,0.6255506607929515,0.9417104634495939,0.9215656130797398
deit_base_distilled_patch16_224,0.6853125,0.6870025777134253,0.684959548175458,0.6856773479736616,0.9550521776625072,0.659852820932134,0.6625615763546798,0.6612044244162228,0.9503698401336197,0.9188024694405362,0.6949711459192086,0.7150127226463104,0.7048494983277592,0.9560622253889087,0.9487598101559381,0.7491776315789473,0.7288,0.7388483373884833,0.9634730538922156,0.9503531497005988,0.7092511013215859,0.6686046511627907,0.6883283454467721,0.9606955693187232,0.9360183677878565,0.7855887521968365,0.7525252525252525,0.7687016337059329,0.9709938183547313,0.9619552034851607,0.5660828025477707,0.609254498714653,0.58687577383409,0.9353729396418831,0.9085154406765521,0.679261862917399,0.6629502572898799,0.6710069444444444,0.9567227887123547,0.9260162960426046,0.6518345042935206,0.6799674267100977,0.6656038262255879,0.9467271858576206,0.9321799456385564
resnet_50,0.42302083333333335,0.4238007657371658,0.4228692805200315,0.4228468446810178,0.9175830815437798,0.36982758620689654,0.3522167487684729,0.3608074011774601,0.9127893104271056,0.7981750126061828,0.40483383685800606,0.4546225614927905,0.4282860567319217,0.9064244151525948,0.8376415478126849,0.4458370635631155,0.3984,0.4207858048162231,0.9258682634730538,0.8115222035928144,0.46469622331691296,0.4700996677740864,0.467382328654005,0.9223439733206289,0.8531439092971024,0.618421052631579,0.5934343434343434,0.6056701030927835,0.9482881597717546,0.9036640577593977,0.3380398671096346,0.34875749785775495,0.34331505693800085,0.9054903355863868,0.7863246065488633,0.3330373001776199,0.3216123499142367,0.32722513089005234,0.910955655679393,0.7751010672720196,0.41571319603356216,0.44381107491856675,0.42930287514769594,0.9085045389393216,0.8318123289046317
resnet_152,0.43604166666666666,0.4396411322286531,0.4358221614383383,0.4367184124652972,0.9194429256247163,0.4151111111111111,0.38341543513957305,0.3986342296201451,0.9214984490575042,0.8046813505678561,0.41051136363636365,0.4902459711620017,0.446849632779281,0.9014368839805249,0.8373458292553684,0.45020576131687245,0.4376,0.4438133874239351,0.92,0.8168507784431138,0.4693227091633466,0.489202657807309,0.47905652704351365,0.9206765126250596,0.8526770875705723,0.6514563106796116,0.5648148148148148,0.6050495942290351,0.957322872087494,0.9008569207689513,0.3414043583535109,0.36246786632390743,0.3516209476309227,0.9032372821060121,0.7925550772656205,0.3547511312217195,0.3361921097770154,0.34522236900044034,0.9154612283613943,0.7783619841440612,0.4243663123466885,0.4226384364820847,0.423500611995104,0.915910176779742,0.8297113283614841
vit_small_patch16_224.augreg_in21k,0.5128125,0.5144160687340456,0.5129256744669306,0.5128630045142797,0.9304090436158808,0.47454545454545455,0.42857142857142855,0.45038826574633306,0.9310427105702697,0.8443217716907643,0.492176386913229,0.5869380831212893,0.5353965183752418,0.9152119700748129,0.8856641868006585,0.5267050123253904,0.5128,0.5196595054722335,0.9310179640718563,0.8663854371257484,0.5320069204152249,0.510797342192691,0.5211864406779662,0.9355645545497856,0.8739955765203806,0.6849192100538599,0.6422558922558923,0.6629018245004344,0.9582738944365192,0.9320549367506098,0.4284532671629446,0.4438731790916881,0.43602693602693604,0.9180600023716352,0.8332565651060109,0.47084048027444253,0.47084048027444253,0.47084048027444253,0.9268437277685558,0.8430165657180303,0.5056818181818182,0.507328990228013,0.5065040650406504,0.927257525083612,0.8754261821240649
vit_base_patch16_224,0.5435416666666667,0.5459699768545032,0.5432013871263276,0.5437993704710993,0.9347981062573664,0.5177434030937216,0.4671592775041051,0.4911523521795425,0.9367692674779289,0.8609160923850037,0.5201827875095202,0.5793044953350297,0.5481540930979133,0.9251870324189526,0.9008952033261488,0.5766129032258065,0.572,0.5742971887550201,0.937125748502994,0.8881429461077844,0.5736842105263158,0.5431893687707641,0.5580204778156996,0.9421152929966651,0.8965333021261509,0.7035681610247027,0.6473063973063973,0.6742656729504604,0.9614835948644793,0.9423961040104645,0.43333333333333335,0.46786632390745503,0.449938195302843,0.9153326218427605,0.8486660974335635,0.5111507582515611,0.4914236706689537,0.5010931351114998,0.9350248992174531,0.8673176569069652,0.5314842578710645,0.5773615635179153,0.5534738485558157,0.925346392737697,0.887811774863007
